category,name,year_founded,stage,raised_m,employees,reg_number,website,description
Components & Manufacturing,TriEye,2017,Revenue Growth,101.0,105,515721744,https://trieye.tech,"TriEye is a developer of short-wave infrared imaging systems, designed to save lives and reduce risks of accidents in all weather and lighting conditions. The company's semiconductor technology and products are used to accelerate pixel level in a camera, which solves the automotive low-visibility ch"
Fleet & Logistics,GreenRoad,2004,Revenue Growth,93.5,174,513524587,https://greenroad.com,"GreenRoad developed active safety systems to improve driver behavior. The company's systems use unique technology to detect safety incidents, relying on a driving model that identifies complex driving scenarios in a wide range of hardware levels, depending on the type of vehicle. They also provide t"
Components & Manufacturing,VisIC,2010,Initial Revenues,88.8,45,514467513,https://www.visic-tech.com,"VisIC is a developer of semiconductors, intended to provide voltage switches to the changing power conversion market. The company's gallium nitride-based transistors and switches exhibit better advantages in all power applications across the switching frequencies from several Hz to large amount of G"
Fleet & Logistics,Fairmatic,2017,Revenue Growth,88.0,120,516667144,https://fairmatic.com,Fairmatic is creating a new commercial insurance category by delivering the first data-driven fleet insurance that rewards safety with savings. Fairmatic’s new approach leverages AI-powered technology in combination with deep telematics data to drive meaningful cost savings for fleets by valuing res
ADAS & Safety,ADASKY,2015,Initial Revenues,84.0,72,515312304,https://www.adasky.com,"ADASKY is a developer of an advanced thermal sensing technology, designed to increase the safety and performance of self-driven vehicles. The company's system combines a far infrared thermal camera with advanced machine vision algorithms that sense and analyze its surroundings by passively collectin"
EV & Clean Energy,Phinergy,2010,Initial Revenues,79.4,65,514354786,https://phinergy.com,"Phinergy is an innovative cleantech company which develops breakthrough clean energy backup and resilience solutions for customers in a wide range of industries. The company's patented metal-air technology leverages the vast energy contained in aluminum and zinc, enabling energy generation by combin"
General Automotive Tech,OPSYS Tech,2016,Revenue Growth,75.0,100,515386001,https://www.opsys-tech.com,"OPSYS is a fast growing private company providing solutions for a wide range of applications utilizing fiber optics technologies. OPSYS is a spinoff from a world wide leading optical communication company. In addition to OPSYS existing product line in the optical communication market, OPSYS is also "
EV & Clean Energy,Addionics,2017,Initial Revenues,74.0,98,515771194,https://www.addionics.com,"Addionics' core technology is based on the development of smart metals and 3D current collectors for lithium-ion batteries, replacing flat metal sheets with an advanced porous structure. This structural change improves current conduction within the cell, enables more efficient heat dissipation, exte"
ADAS & Safety,NoTraffic,2017,Revenue Growth,70.5,157,515717890,https://www.notraffic.tech,"NoTraffic is a developer of an autonomous traffic management platform, intended to reduce traffic congestion. The company's platform modernizes cities by transforming signalized intersections into a connected digital transportation network that enhances efficiency assures safety and maximizes infras"
Smart Cities & Mobility,Cortica,2007,Revenue Growth,67.9,29,513975250,http://www.cortica.com,"Cortica is developing a leading AI technology for visual perception. Its unique self-learning technology, backed by more than 200 patents, allows Cortica to develop multiple products that can read and understand images on a human level–thereby significantly exceeding the capabilities of the giant co"
EV & Clean Energy,Aquarius Engines,2014,Initial Revenues,66.0,60,515114429,https://www.aquariusengines.com,"Aquarius Engines is a clean-tech / energy company developing and manufacturing small-scale power generation engines and generators. The company's core technology is a two-sided free-piston linear engine (FPLE), which converts fuel combustion into electric power with fewer moving parts, aiming for hi"
General Automotive Tech,Fullpath,2012,Revenue Growth,59.865,230,514762673,https://www.fullpath.com,"Fullpath is an automotive industry's AI-first Customer Data Platform (CDP). The platform unifies first-party dealership data and activates it through powerful AI and marketing automation. Dealerships that invest in Fullpath create exceptional, hyper-personalized customer experiences that drive loyal"
EV & Clean Energy,IRP Systems,2015,Initial Revenues,57.0,80,514092758,https://www.irpsystems.com,"IRP systems delivers innovative high-performance E-powertrain systems. Its goal is to make electric mobility technology affordable for the mass market, making electric vehicles accessible to everyone, everywhere. Leveraging its breakthrough technology in control algorithms and powertrain design, the"
Fleet & Logistics,Air One,2017,Initial Revenues,50.0,60,516018785,https://www.airev.aero,"AIR is a leading dual-use aerospace OEM developing advanced eVTOL aircraft for both uncrewed cargo logistics, Defense, and FAA-certified piloted flight. With flight testing facilities in both Israel and the United States, AIR combines engineering, certification, and operational expertise under one m"
Smart Cities & Mobility,Tactile Mobility,2011,Initial Revenues,47.1,40,514681972,https://tactilemobility.com,"Tactile Mobility is an automotive software company, focused on harnessing tactile data to enhance vehicle-road interaction. Through its advanced virtual sensing technology, the company leverages existing vehicle sensors to provide real-time analysis, employing AI and machine learning to gain insight"
General Automotive Tech,YCD,1999,Initial Revenues,47.1,52,512740564,https://www.ycdmultimedia.com,"YCD Multimedia , a global provider of advanced digital signage software solutions, serving the retail, telecom, banking, gaming, entertainment, hospitality, educational, transportation, and corporate markets. 
 YCD provides businesses and organizations with a fully-scalable platform to attract and e"
EV & Clean Energy,Apollo Power,2014,Revenue Growth,45.1,100,520043928,https://www.apollo-power.com,Apollo Power is a company focused on the development and manufacturing of solar energy solutions in the renewable energy sector. The company's main offerings include lightweight and flexible solar films that can transform any surface into an energy source. Apollo Power primarily serves the automotiv
Mapping & Navigation,Rail Vision,2016,Initial Revenues,38.0,65,515441541,https://railvision.io,"Rail Vision is a leading provider of obstacle detection & classification systems in the railway industry. With the company’s unique cognitive sensor fusion technology, based on advanced electro-optic sensors, artificial intelligence and deep learning, Rail Vision systems detect objects on and along "
Cybersecurity,Karamba,2016,Initial Revenues,37.0,44,515390979,https://karambasecurity.com,"Karamba Security offers end-to-end portfolio of products and services, which enable electric vehicle and IoT device manufacturers to protect their products against cyberattacks. Karamba’s unique hybrid of embedded and security expertise, and patented automation, enables OEMs to protect their vehicle"
Fleet & Logistics,GasNGo,2005,Initial Revenues,36.25,30,515420180,https://gasngo.com,"GasNGo is a technology and service company offering the ultimate answer to fleet needs. Its comprehensive fleet control system allows fleet managers to view and control all fleet activity, transactions and maintenance online and in real-time. Since 2005, GasNGo has been providing patented, cost-effe"
General Automotive Tech,Foresight Autonomous,2015,Initial Revenues,29.4,72,520036062,https://www.foresightauto.com,"Foresight's flagship product is QuadSight system, a multi-spectral computerized vision solution, based on two stereoscopic daylight cameras and two long-wave thermal infrared cameras. Designed as the central vision system for autonomous and semi-autonomous vehicles, the system is capable of detectin"
Components & Manufacturing,Cognata,2016,Initial Revenues,27.8,38,515486579,https://www.cognata.com,"Cognata allows companies that develop autonomous driving systems to enrich data from real test drives, using GenAI. The company's new solution is a complementary component to the company's simulator that creates a virtual environment that simulates in detail the reality on the road, from the exact s"
General Automotive Tech,Donisi,2013,Initial Revenues,27.0,12,515223949,https://donisihealth.com,"Donisi supports patients with CHF and other chronic cardiopulmonary diseases, helping them avoid rehospitalization through simple daily monitoring of key health biomarkers that support timely detection of changes in lung fluid content.
 
 In April 2021, Donisi received FDA clearance for the Gili Pro"
Components & Manufacturing,Ottopia,2018,R&D,26.5,49,515900702,https://ottopia.tech,"Ottopia is a software company that enables the commercial deployment of all autonomous vehicles (AVs). Using Ottopia's software, remote humans can solve any challenge that autonomy alone cannot. With Ottopia's technology, major OEMs and AV companies close the performance gap of AVs, cut R&D costs, p"
General Automotive Tech,AudioBurst,2015,Initial Revenues,25.5,22,515275394,https://audioburst.com,"Audioburst is building the world’s largest growing library of audio content by listening to and indexing millions of audio files from a plethora of sources in real time. Powered by advanced NLP technology and a proprietary AI platform that indexes audio segments into searchable bursts in real-time, "
ADAS & Safety,Axilion,2009,Revenue Growth,25.0,10,520038548,https://axilion.com,"Axilion Smart Mobility is an AI Digital Twin company that empowers cities to reduce congestion, reduce pollution, and improve road safety. The company is reimagining what is possible for mobility through unique Digital Twin and AI that merges the physical and virtual worlds to help cities to see, un"
General Automotive Tech,GuardKnox,2016,Initial Revenues,25.0,27,515391837,https://www.guardknox.com,"GuardKnox is a leading automotive technology company ushering in the smartphonization of the next generation of vehicles by building high-performance, service-oriented, customizable, and secure-by-design products for the next generation of driver-centric mobility. GuardKnox enables the software-defi"
ADAS & Safety,BWV,2010,R&D,25.0,29,514538131,https://www.brightwayvision.com,"BrightWay Vision is developing a night-vision technology to make driving easier and safer by monitoring the forward environment facing the vehicle, allowing the driver, with assistance from the active safety systems, an opportunity to avoid an accident. BrightWay is developing an advanced night-time"
Fleet & Logistics,CaPow,2018,R&D,22.9,34,515918035,https://capow.energy,"CaPow's solution is based on floor antennas that enable energy supply, while moving. It also reduces the use of lithium-ion batteries and allows integration into existing infrastructure, without significant changes to the warehouse design. The company works in collaboration with robot manufacturers "
Smart Cities & Mobility,Valerann,2016,Initial Revenues,22.0,31,515027282,https://www.valerann.com,"Valerann offers data-driven, intelligent traffic management systems using artificial intelligence (AI), data analytics and data fusion."
Components & Manufacturing,MOV.AI,2016,Initial Revenues,21.418,45,516218740,https://www.mov.ai,"MOV.AI provides AMR manufacturers and integrators with the tools they need to create great robots quickly, allowing users to benefit from automation products that are as flexible as the age we live in. Born out of an unmet need, MOV.AI is a ROS-based Robotics Engine PlatformTM packaged in an intuiti"
2W/3W,City Transformer,2014,Initial Revenues,20.355,18,515047363,https://www.citytransformer.com,"City Transformer is a developer of an urban electric vehicle, designed to provide an upgraded driving experience. The company designs dimensions and riding behavior while driving to meet the complex challenges of a conventional passenger car, when in driving mode to that of a motorcycle in parking m"
ADAS & Safety,RodRadar,2012,Initial Revenues,20.0,30,514616069,https://www.rodradar.com,"RodRadar offers a unique technology platform, which automatically detects underground utility infrastructure in real time, on location and without the need for expert analysis. The company's proprietary radar technology, the Live Dig Radar® (LDR), along with its line of products, facilitates a new e"
General Automotive Tech,Binah.ai,2016,Initial Revenues,19.625,55,515413482,https://www.binah.ai,"Binah.ai’s award-winning software, delivered to organizations as an SDK (Software Development Kit), reduces the need for wearables, sensors, or dedicated hardware and transforms smartphones and other camera-equipped devices into wellness and health check tools. The AI-powered, video-based solution a"
Cybersecurity,Cervello,2018,Initial Revenues,19.5,22,515814770,https://cervello.security,"Cervello's cybersecurity platform enables rail organizations of all sizes to identify and resolve the most critical risks in their networks so they can run and manage their service more securely and efficiently, creating new degrees of safety and performance. Several of the world's leading railways "
Mapping & Navigation,Brain.Space,2018,R&D,19.5,40,515886992,https://www.brain.space,"Brain.space is a pioneering company specializing in non-invasive brain activity mapping and monitoring. The company develops advanced technologies like the Brain Sensei™ headgear, which uses AI and machine learning to analyze EEG data. Focused on healthcare, space exploration, and consumer applicati"
Fleet & Logistics,Questar,2003,Revenue Growth,19.1,150,513367797,https://questarauto.com,"Questar Auto Technologies is a predictive vehicle health company introducing cutting-edge AI technology for automotive. Our technology consists of AI-based analytics software, advanced telematics, and years of accumulated data and intimate familiarity with automotive pain points. Questar uses unique"
EV & Clean Energy,GalooliOTO,2009,Revenue Growth,18.8,227,513661637,https://www.galooli.com,"GalooliOTO develops systems for remote management and operational optimization of assets through monitoring, control, analysis of information, collected from the assets and remote control of their activities. The company collects information by using sensors from various facilities, such as batterie"
Smart Cities & Mobility,HopOn,2013,Revenue Growth,18.5,95,514911205,https://hopon.co,"HopOn's mobile ticketing platform streamlines payment and validation processes for public and shared transportation. HopOn's patented, hardware-free solution enables multiple simultaneous validations, shortening boarding time in any scenario, from CICO/CIBO to full BIBO. The platform also enables a "
EV & Clean Energy,C.En,2005,Initial Revenues,17.0,10,,https://www.cenh2.com,"C.En uses hollow glass fibers to make a hydrogen storage system that is free in shape, safe, low weight and features a quick refueling process. Their technology demonstrates the feasibility of using hydrogen for transportation, electronics, and military applications."
Fleet & Logistics,Hoopo,2016,Initial Revenues,17.0,30,515326452,https://www.hoopo.tech,"Hoopo provides monitoring and tracking solutions for non-motorized equipment. The company's technology allows end-to-end tracking both outdoors and indoors with the transmission of messages and data across long distances, enabling businesses to maintain low ownership costs and high power-efficiency "
Components & Manufacturing,SaverOne,2014,Initial Revenues,16.88,40,515154607,https://www.saver.one,"SaverOne is a technology company that designs, develops, and commercializes OEM and aftermarket solutions and technologies to lower the risk of and prevent vehicle accidents. SaverOne’s initial product line is a suite of solutions that saves lives by preventing car accidents resulting from distracti"
Fleet & Logistics,NanoScent,2017,Initial Revenues,15.85,20,515648715,https://nanoscentlabs.com,"Nanoscent is an Israeli start up company that develops, designs, and produces innovative sensors based on nanotechnology, founded in 2017. Behind NanoScent is a powerful tech team made of chemists, material scientists and data scientists developing hard-tech for climate tech sensing. NanoScent has r"
Components & Manufacturing,Unitronics,1989,Revenue Growth,15.5,150,520044199,https://www.unitronics.com,"Unitronics designs, manufactures, and markets advanced control and automation solutions. The company's extensive offering includes a complete line of PLCs with integrated HMI, full line of VFDs, a broad array of I/Os and complementary devices, as well as programming software for all aspects of contr"
InsurTech,Click-Ins,2014,Initial Revenues,15.4,20,515130359,https://www.click-ins.com,"Click-Ins is a rapidly growing, next-generation AI SaaS vehicle inspection platform. 
 Click-Ins is dedicated to transforming time-consuming, costly, manual inspections into one digitized, automated, consistent and streamlined, near real-time process, without the need for special equipment or skille"
Fleet & Logistics,Siyata Mobile,2010,Revenue Growth,13.0,18,515275246,https://www.siyatamobile.com,"Siyata Mobile (Publicly Traded ($SYTA)) is a leading global developer and provider of cellular communications solutions for enterprise customers, specializing in connected vehicle products for professional fleets, marketed under the Uniden® Cellular brand.
 
 
 Siyata's product line first made its d"
Components & Manufacturing,CompuLab,1992,Revenue Growth,12.5,103,511683351,https://www.compulab.com,"CompuLab is a leading manufacturer of innovative energy efficient computers. CompuLab product portfolio ranges from board level products such as CoM and SBC to complete systems. Compulab mini-PC computers are recognized as the smallest, most durable and highly integrated PCs in the industry and as s"
EV & Clean Energy,ETV Energy,2008,Initial Revenues,12.0,14,514120898,http://www.etvenergy.com,ETV Energy is engaged in developing the next generation Lithium-Ion Battery (LIB) for the Automotive and High-end markets. Novel battery chemistry based on a high voltage cathode is being developed for the automotive market to deliver specific energy of 220-250Wh/kg. The company has already gained a
Fleet & Logistics,ContGuard,2012,Initial Revenues,11.5,41,514922079,https://www.contguard.com,"Contguard is a global AI-based IoT technology company that provides comprehensive visibility and control for securing and monitoring goods in transit. Contguard is dedicated to empowering global companies by delivering full in-transit visibility, security, and sustainability, ensuring the optimizati"
Components & Manufacturing,Newsight,2016,Initial Revenues,11.3,20,515459014,https://www.newsight.com,"Newsight Imaging is an Israeli semiconductor startup founded with the goal of making 3D technology accessible for mass market applications across many industries: from Automotive, Industry 4.0, Smart City & Robotics to Water Safety & Healthcare. Newsight is a designer, developer, and manufacturer of"
Fleet & Logistics,CorrActions,2019,Initial Revenues,10.85,25,515999761,https://corractions.com,"CorrActions provides a software-only, motion based, driver monitoring product. CorrActions uses unconscious, uncontrollable, muscular submovements to monitor brain activity. By tracking these movements from sources like steering wheels or smartphones, CorrActions can detect a wide range of cognitive"
Fleet & Logistics,Blitz Electric Motors,2012,Initial Revenues,10.4,25,514788702,https://blitzmotors.com,Blitz Motors builds and manufactures fully-electric two-wheel vehicles for business fleets and consumers. The company offers two-wheel fleet managers attractive top quality strong and powerful vehicles at affordable prices and a platform to connect its innovative two wheel vehicles to the Electric r
Cybersecurity,Regulus Cyber,2016,Initial Revenues,10.35,12,515565729,https://www.regulus.com,"Regulus Cyber is disrupting the GNSS market with a software-only, connected and system-agnostic solution to detect, protect and mitigate smart spoofing. The company's product, Pyramid GNSS improves how satellite position, velocity and time-critical for numerous systems, including automotive, infrast"
Components & Manufacturing,Polymertal,2013,Initial Revenues,10.0,16,514948751,https://polymertal.com,"Polymertal provides an innovative technology that aims to improve the traditional use of metal products and components with its concept of hybrid products. The company combines metals and polymers with high bonding performance, enabling the successful replacement of metal items, even in critical app"
Components & Manufacturing,Lidwave,2019,R&D,10.0,18,516180213,https://www.lidwave.com,"Lidwave’s proprietary Finite Coherent Ranging (FCR) technology integrates all critical components onto a single chip, simplifying production and significantly reducing costs. The company's sensors enables speed measurement in addition to depth measurement at the pixel level, i.e. high-resolution D4 "
Smart Cities & Mobility,Visionary.ai,2020,Initial Revenues,10.0,25,516288461,https://www.visionary.ai,Visionary.ai is a developer of a prediction-based image signal processor intended to make visual data capturing possible across all circumstances. The company's processor leverages artificial intelligence and computer vision technologies to improve the quality and detection of images and videos and 
2W/3W,Ride Vision,2018,Initial Revenues,9.5,13,515817344,https://ride.vision,"Ride Vision was created by technologists by day, motorbike riders by road, to give any motorcycle Predictive Vision. Ride Vision’s computer vision and neural network based CAT™ - Collision Aversion Technology leverages standard hardware and cameras to sense, predict and warn riders of threats on the"
Mapping & Navigation,WiseSight,2017,Initial Revenues,9.0,24,515461481,https://www.wisesight.ai,"WiseSight is an AI technology company that revolutionizes parking management and enforcement. WiseSight's real-time data analytics and automated solutions provide customers with increased revenue, enhanced sustainability and improved traffic flow."
EV & Clean Energy,Nuel,2023,Initial Revenues,8.7,10,516826856,https://nuel.co.il,"Nuel is a clean tech company dedicated to helping businesses reduce their carbon footprint or trade in green credits. It utilizes an exclusive, patented technology that makes fuel cleaner, contributing to a more sustainable future."
EV & Clean Energy,Melodea,2010,R&D,8.5,22,514487990,https://melodea.eu,"Melodea is a pioneer in the development of an economically viable industrial process for the production of Nano Crystalline Cellulose (known as NCC or CNC) NCC from wood pulp and the sludge of the paper industry. Moreover, they develop unique technologies to assemble the NCC into: 
 
 • Ecologically"
Fleet & Logistics,Spinframe,2017,Initial Revenues,8.5,24,515615136,https://spinframe.com,"Spinframe develops AI, computer vision, and machine-learning-based vehicle-inspection systems that monitor and detect anomalies throughout supply chains, from assembly line to dealership to end customer."
Fleet & Logistics,Carrar,2019,R&D,8.4,25,516024825,https://carrar.net,"Carrar is a developer of battery modules with an internal thermal management system, designed for any EV from commercial fleets, buses and trucks to sports cars and professional race cars. The company's system, which is integrated into the battery system, dissipates and adjusts heat uniformly across"
General Automotive Tech,Actasys,2015,R&D,8.0,20,516762176,https://www.actasysinc.com,Actasys is a development stage company commercializing its unique ActaJet technology for sensor cleaning and advance cooling systems and is establishing leadership in critical areas to enable the safe and efficient future of the automotive and mobility industries. Actasys has multiple product develo
Smart Cities & Mobility,Eye-Net,2018,R&D,7.75,30,515847903,https://eyenet-mobile.com,"Eye-Net is a provider of a collision prediction and prevention software-based platform, designed to address safety challenges in the shared mobility landscape. The company's platform incorporates AI-powered algorithms that calculate user location and collision probability, as well as utilizes a soph"
General Automotive Tech,Imagry,2013,Initial Revenues,7.52,120,515173938,https://imagry.co,Imagry is an autonomous vehicle software provider that has created a mapless driving system. The company’s bio-inspired technology combines real-time vision-based perception network and imitation-learning AI for driving decision-making network. Imagry's software stack enables the autonomous vehicle 
Cybersecurity,C2A Security,2016,Initial Revenues,7.52,40,515460111,https://www.c2a-sec.com,"C2A Security is an AI-driven product security orchestration platform for software-defined products and cyber-physical systems in regulated industries. It collaborates with major companies like BMW, Elekta, and NVIDIA, and has won a CLEPA Innovation Award for its DevSecOps platform. The platform enha"
EV & Clean Energy,Carteav,2020,Initial Revenues,6.6,17,516256542,https://www.carteav.com,"Carteav is a developer of electric low-speed vehicles, designed for golf courses. The company offers autonomous driveless vehicles, which reduce complexity, cost and regulatory issues that can be resolved to enable safety, autonomous wireless charging of vehicles at golf courses."
Components & Manufacturing,SP Nano,2007,Initial Revenues,6.28,13,514036342,http://www.spnano.com,"SP Nano is the developer of SP1 - a revolutionary nano-reinforcement protein agent that will transform the composite materials and rubber industries by enabling the production of lighter, stronger and sustainable parts. SP Nano is commercializing the use of carbon-based nanoparticles in the rapidly "
Fleet & Logistics,EVR,2008,Initial Revenues,5.54,45,514782135,https://evr-motors.com,"EVR Motors develops electric motors designed to meet the scalability requirements of the e-automotive industry. The company's motors are ferrite-based with patented dual-sided revolutions per minute architecture with light and high power density and torque density, enabling businesses to manufacture"
Fleet & Logistics,Quicargo,2015,Initial Revenues,5.5,20,,https://quicargo.com,"Quicargo provides an online marketplace for shippers & carriers to benefit from unutilized truck loading spaces. Its platform monitors available trucks with empty space from multiple sources, analyses it in real-time, detects shippers needs and creates a database with essential information to instig"
Components & Manufacturing,Audio Pixels,2006,R&D,5.3,15,513853606,https://audiopixels.com.au,"Audio Pixels has developed an innovative technological platform for reproducing sound, thus enabling the production of an entirely new generation of speakers that will exceed the performance specifications and design demands of the world’s top consumer electronics manufacturers. Audio Pixels patente"
Fleet & Logistics,TruckNet,2014,Initial Revenues,5.25,40,515446474,https://www.trucknet.io,"Trucknet Enterprise is an “integration platform as a service” company. Its All-in-One digital, cloud-based platform enables transportation and logistics companies to reduce transport costs and save resources by optimizing shipments across all modes of transportation, through the use of Artificial In"
EV & Clean Energy,CENS,2014,Initial Revenues,5.15,5,514983121,https://censnano.com,"CENS is developing technology for increasing the energy and power of super-capacitors and lithium ion batteries by connecting carbon nanotubes (CNT) with various electrode materials to create highly conductive 3-dimensional structures for meeting the increasing demands of the electronics, transporta"
Smart Cities & Mobility,Mappo,2015,Initial Revenues,5.028,22,515196046,https://mappo.world,"Mappo specializes in location-based infotainment services within the tech industry. The company uses AI technology to provide drivers, passengers and pedestrians with a way to explore their surroundings through stories, fun facts, trivia and riddles tailored to their location. Mappo's platform prima"
Smart Cities & Mobility,Mobi,2013,Initial Revenues,5.0,10,514969104,https://www.mobilityinsight.net,"MobilityInsight is developing cost effective and innovative end to end solution that includes mesh network of smart edge sensors for detecting RF signals of IOT, video analytics, I2V and other sensing technologies, combined with powerful server side analytics to support realtime multi-modal (private"
Fleet & Logistics,Ultrawis,2019,Initial Revenues,5.0,13,515976603,https://www.ultrawis.com,"UltraWis LTD was co founded through 2019 by Lior Avitan and Erez Gernitzky, both are experts in machine learning, AI and basically how to get (super complicated) things done. 
 On their journey to autonomous cranes in a digital construction site they are launching their ADAS “ALL-IN-ONE” Solution.
 "
Fleet & Logistics,AirwayZ,2018,Initial Revenues,5.0,30,516010386,https://www.airwayz.co,"Airwayz is a developer of a cloud-based management platform, designed to be used for real-time monitoring and operating heterogeneous drone fleets. The company's platform is an artificial intelligence-based dynamic urchin tracking module and a multi-autonomous flight system that can control, manage "
InsurTech,Balcar Report,2020,Initial Revenues,5.0,5,516214673,https://balcar.co.il,"Balcar gives the users a report, which includes information about the used vehicle and the sellers. It referers to the history of the car, like insurance claims, accidents, theft and impairment, compared to the price list. Also, the company displays an information on the history of vehicle ownership"
EV & Clean Energy,HydroX,2015,R&D,4.83,34,515368629,https://hydrox.earth,"Hydro X is reinventing hydrogen storage and transportation with a disruptive technology which enables to store and transport hydrogen in a non-toxic, non-flammable, non-explosive, cost and energy-efficient carrier, driving the cost of hydrogen storage and transportation below US$1/kgH2 and unlocking"
ADAS & Safety,Maradin,2007,Initial Revenues,4.75,17,513962316,https://www.maradin.co.il,"Maradin enables the use of Lasers to Display and Sensor applications by its proprietary advanced Laser Beam Scanning (LBS) solutions, based on MEMS micro-mirrors, MEMS and video controllers
 
 Maradin’s innovative products, serve as core components for both automotive and consumer fast growing marke"
EV & Clean Energy,3Dbattery,2017,R&D,4.4,18,515439354,https://www.3dbattery.co.il,"3DBattery's technology versatility and product innovation for Li-ion batteries is proposed as a step-change in the energy and power per volume and per weight of rechargeable batteries for a wide range of applications, from small electronic devices to transportation (EV) and energy GRID storage. Base"
General Automotive Tech,Friendly Technologies,1997,Revenue Growth,4.4,73,512464785,https://friendly-tech.com,"Friendly Technologies is committed to delivering industry-leading solutions that foster improved device management and connectivity across telecommunications, utilities, and IoT industries. With a focus on innovation and user experience, Friendly Technologies continues to lead the way in making tech"
Fleet & Logistics,Make My Day,2017,Initial Revenues,4.33,12,515651545,https://makemydayapp.com,"Make My Day helps Drivers and fleets shift to EVs and manage the charging of the vehicles. the company offers EV Route planner for drivers, full Fleet electrification solutions, EV fleet management system and EV charging optimization, to seamlessly adopt EV fleets, saving time, money, and operationa"
EV & Clean Energy,Enervibe,2016,Initial Revenues,4.15,11,515859809,https://enervibe.co,"Enervibe is developing devices, known as ""Vibration Energy Harvesters"" (VEH), devices that convert mechanical energy into electrical energy. The company's devices focus on the optimization of mechanical to electrical energy conversion and increase data integrity for monitoring systems, enabling clie"
