name,stage,employees,raised,year_founded,tech_vertical,reg_number,website,description
Assembrix,Mature,11-50,Undisclosed,2014,"Automotive, Big Data, Industry 4.0, Robotics, SaaS",515014512,https://assembrix.com,"Assembrix developed a cloud-based platform that virtualizes 3D industrial printing. Its Virtual Manufacturing Space platform (VMS) enables a simpler, more efficient and secured production process by overseeing the entire additive manufacturing thread, from initial part model to the verified physical"
Augwind,Public,11-50,$98.91M,,,,,
Balena Science,Seed,11-50,Undisclosed,,,,,
Barantech,Mature,11-50,Undisclosed,,,,,
Bio-Nexus,Mature,1-10,$3M,,,,,
Blink,A,11-50,$24M,,,,,
Brillianetor,Mature,1-10,Undisclosed,,,,,
C-True,Mature,1-10,Undisclosed,,,,,
C2A Security,A,11-50,$26.7M,2016,"Artificial Intelligence, Automotive, Cyber Security, Industry 4.0, IoT, Machine Learning",515460111,https://www.c2a-sec.com,"C2A Security is an AI-driven product security orchestration platform for software-defined products and cyber-physical systems in regulated industries. It collaborates with major companies like BMW, Elekta, and NVIDIA, and has won a CLEPA Innovation Award for its DevSecOps platform. The platform enha"
CASTOR,Seed,11-50,$5.87M,,,,,
Ception,Seed,1-10,$7M,,,,,
Cognata,B,11-50,$27.8M,2016,"Artificial Intelligence, Automotive, Defense Tech, Machine Learning, Machine Vision",515486579,https://www.cognata.com,"Cognata allows companies that develop autonomous driving systems to enrich data from real test drives, using GenAI. The company's new solution is a complementary component to the company's simulator that creates a virtual environment that simulates in detail the reality on the road, from the exact s"
Continual,Public,11-50,$14M,,,,,
Copprint,A,11-50,$10.22M,,,,,
Cortica,D,11-50,$107.9M,2007,"Artificial Intelligence, Automotive, Deep Tech, DevOps, Drones, IoT, Machine Learning, Machine Vision, RetailTech, Smart City",513975250,http://www.cortica.com,"Cortica is developing a leading AI technology for visual perception. Its unique self-learning technology, backed by more than 200 patents, allows Cortica to develop multiple products that can read and understand images on a human level–thereby significantly exceeding the capabilities of the giant co"
Creative IC3D,Pre-Seed,1-10,$1M,,,,,
CU-BX,Seed,1-10,$1M,,,,,
Cybord,A,11-50,$12.95M,,,,,
Dan-Tech Energy,Mature,11-50,Undisclosed,2011,"Automotive, Robotics",513336479,http://www.danenergy.com,"Dan-Tech Energy specializes in the development of portable, rechargeable battery power systems, which are designed and manufactured for superior run times, reliability, durability, safety and ease of use. With a proven track of technical excellence, Dan-Tech has become an outstanding manufacturer in"
DATA Detection,Mature,11-50,Undisclosed,,,,,
Datagen,B,51-200,$68.5M,,,,,
Designer Energy,Seed,1-10,Undisclosed,,,,,
Diolan,Mature,1-10,Undisclosed,,,,,
Dor Group,Mature,11-50,Undisclosed,,,,,
Duality,B,51-200,$50M,,,,,
Duma Optronics,Mature,11-50,Undisclosed,,,,,
EasySend,B,51-200,$66.5M,,,,,
EcoTech,Mature,1-10,Undisclosed,,,,,
EExion,Seed,11-50,$2.4M,1968,"Automotive, Defense Tech",510496532,https://mobilinx.wixsite.com/website,"Xi Information Processing Systems has established itself as a chief developer, manufacturer and marketer of assorted vehicle tracking and navigation, GIS & data communications products and systems. Xi systems are field proven and incorporate mobile Geographic Information Systems (GIS) and data commu"
Eldrotec,Mature,1-10,Undisclosed,,,,,
Electriq,Seed,11-50,$24.88M,,,,,
Elspec,Public,51-200,Undisclosed,,,,,
Eltam Ein-,Mature,11-50,Undisclosed,1967,"Automotive, IoT, Smart City",550001374,https://www.eltam-eh.co.il/en,"ELTAM Ein Hashofet is a leading designer and manufacturer of advanced systems for lighting. A designer of energy efficient solutions for indoor, outdoor and agricultural lighting. Eltam is a one-stop-shop for energy efficient and intelligent street lighting systems. Eltam offers a package of LED dri"
Eltek,Public,51-200,$10M,,,,,
Engie,Mature,51-200,$7.3M,,,,,
Engineuity,A,1-10,$2.3M,,,,,
Enroute,Pre-Seed,1-10,$825K,,,,,
EntroSys,Mature,1-10,Undisclosed,,,,,
Epsilor-Electric,Mature,11-50,Undisclosed,1985,"Automotive, Defense Tech, SpaceTech",511067480,https://www.epsilor.com,"Epsilor is a globally recognized developer and manufacturer of custom and standard batteries, chargers and mobile power management systems. The company serves customers all over the world in the defense, aerospace and marine industries. Recently, Epsilor completed the development of the COMBATT ELI-"
EtherWaves,Mature,1-10,$2M,,,,,
ETV Energy,Mature,1-10,$12M,2008,"Automotive, Climate Tech",514120898,http://www.etvenergy.com,ETV Energy is engaged in developing the next generation Lithium-Ion Battery (LIB) for the Automotive and High-end markets. Novel battery chemistry based on a high voltage cathode is being developed for the automotive market to deliver specific energy of 220-250Wh/kg. The company has already gained a
EVCO Pro,Seed,1-10,Undisclosed,2018,Automotive,515844132,http://evco.pro,"Evco is developing a shock absorber for all types of vehicles that can provide a pleasant ride along with improved safety, steering and advanced road grips."
EVR Motors,Seed,11-50,$401.39K,2008,Automotive,514782135,https://evr-motors.com,"EVR Motors develops electric motors designed to meet the scalability requirements of the e-automotive industry. The company's motors are ferrite-based with patented dual-sided revolutions per minute architecture with light and high power density and torque density, enabling businesses to manufacture"
ExorGate,Mature,1-10,Undisclosed,,,,,
Feelit,A,11-50,$18.73M,,,,,
FlexiFuel,Seed,1-10,$15K,1968,"Automotive, Defense Tech",510496532,https://mobilinx.wixsite.com/website,"Xi Information Processing Systems has established itself as a chief developer, manufacturer and marketer of assorted vehicle tracking and navigation, GIS & data communications products and systems. Xi systems are field proven and incorporate mobile Geographic Information Systems (GIS) and data commu"
Flywheel Energy,Seed,1-10,$700K,,,,,
Foamotive,Mature,51-200,Undisclosed,,,,,
Frenel Imaging,Seed,1-10,$1M,,,,,
Frisimos,Mature,11-50,Undisclosed,,,,,
frontline.io,A,11-50,$12.8M,,,,,
Fusepoint,Mature,1-10,$1M,,,,,
FVMat,Pre-Seed,1-10,$850K,,,,,
Galileo Satellite,Mature,1-10,$3.46M,,,,,
GOARC,B,11-50,$19.9M,,,,,
Good2Go,Mature,1-10,Undisclosed,,,,,
Grafenika,Seed,1-10,$2.5M,,,,,
Green ELMF,Mature,1-10,$354K,,,,,
Green2Pass,Seed,1-10,$570K,2016,Automotive,515331593,,Green2Pass developed a laser beam system that detects vehicles from long distance and warns the driver before overtaking.
GuardKnox,A,11-50,$24M,2016,"Automotive, Cyber Security, IoT",515391837,https://www.guardknox.com,"GuardKnox is a leading automotive technology company ushering in the smartphonization of the next generation of vehicles by building high-performance, service-oriented, customizable, and secure-by-design products for the next generation of driver-centric mobility. GuardKnox enables the software-defi"
Imagry,A,51-200,$55.9M,2013,"Artificial Intelligence, Automotive, IoT, Machine Learning, Machine Vision",515173938,https://imagry.co,Imagry is an autonomous vehicle software provider that has created a mapless driving system. The company’s bio-inspired technology combines real-time vision-based perception network and imitation-learning AI for driving decision-making network. Imagry's software stack enables the autonomous vehicle 
Incentives,Mature,11-50,Undisclosed,2005,"Automotive, Climate Tech",,https://www.cenh2.com,"C.En uses hollow glass fibers to make a hydrogen storage system that is free in shape, safe, low weight and features a quick refueling process. Their technology demonstrates the feasibility of using hydrogen for transportation, electronics, and military applications."
Inomize,Mature,11-50,Undisclosed,,,,,
Inpris HumAIns,Seed,1-10,$2.6M,2011,"Artificial Intelligence, Automotive, Generative AI, IoT, Machine Learning, Machine Vision",514658277,https://www.humains.com,"Inpris's specializes in the development of advanced AI applications and human-machine interfaces. Inpris's flagship product, Mobility OS, incorporates several of our patented technologies, such as sightless touch, gesture recognition, and sightless type, to enable drivers to use infotainment and sma"
Intelichain Labs,Seed,11-50,Undisclosed,,,,,
Inuitive,Mature,51-200,$176M,,,,,
IonTerra,Mature,1-10,$3.96M,,,,,
iPhysicist,Mature,1-10,Undisclosed,2009,"Augmented Reality, Automotive, Machine Vision, Virtual Reality",514229954,http://www.iphysicist.com,"iPhysicist specializes in developing electro-optical systems, starting from optical design through production of prototypes to mass production."
IsraZion,Mature,1-10,Undisclosed,1986,Automotive,560009516,https://isrtransit.com,"ISR Corporation is well recognized as a pioneer in the mapping and tracking industry. From its start in 1986, ISR Corporation has installed custom fleet management systems for governmental and commercial customers world-wide, including the Executive Office of the President of the United States, the "
Karamba Security,B,11-50,$27M,2016,"Automotive, Cyber Security, Industry 4.0, IoT",515390979,https://karambasecurity.com,"Karamba Security offers end-to-end portfolio of products and services, which enable electric vehicle and IoT device manufacturers to protect their products against cyberattacks. Karamba’s unique hybrid of embedded and security expertise, and patented automation, enables OEMs to protect their vehicle"
Keylabs AI,Seed,1-10,$1.2M,,,,,
KiloLambda,Mature,1-10,Undisclosed,,,,,
King Engine,Mature,51-200,Undisclosed,,,,,
KITOV.ai,Mature,11-50,$10M,,,,,
Largix,A,1-10,$8.3M,,,,,
Lehavot,Mature,11-50,Undisclosed,,,,,
Lidwave,Seed,11-50,$10M,2019,"Automotive, Deep Tech, Robotics",516180213,https://www.lidwave.com,"Lidwave’s proprietary Finite Coherent Ranging (FCR) technology integrates all critical components onto a single chip, simplifying production and significantly reducing costs. The company's sensors enables speed measurement in addition to depth measurement at the pixel level, i.e. high-resolution D4 "
LIMIT Lock,Mature,1-10,Undisclosed,,,,,
Lingacom,A,1-10,$7.23M,,,,,
Lirhot Systems,Seed,1-10,$2M,,,,,
Magnus Metal,B,51-200,$74M,,,,,
Makalu Optics,Seed,11-50,Undisclosed,2019,"Automotive, Drones, Robotics",516082096,https://www.makaluoptics.com,"Makalu Optics is a disruptive leader in vision technology, specializing in advanced lidar platforms for 3D perception. The company's mission is to tackle life-saving, seemingly impossible vision challenges with innovative systems. Makalu's solutions are deployed across homeland security, large infra"
Maradin,Mature,1-10,$4M,2007,"Augmented Reality, Automotive, Virtual Reality",513962316,https://www.maradin.co.il,"Maradin enables the use of Lasers to Display and Sensor applications by its proprietary advanced Laser Beam Scanning (LBS) solutions, based on MEMS micro-mirrors, MEMS and video controllers
 
 Maradin’s innovative products, serve as core components for both automotive and consumer fast growing marke"
MASSIVit 3D,Public,51-200,$78.6M,,,,,
Matics,A,11-50,$20.75M,1985,"Automotive, IoT",511100471,http://www.ermtelematics.com,"ERM Advanced Telematics is an international technology company focused on automotive solutions, whose technologies and products are installed in more than 5 million vehicles worldwide. The company's solutions are based on a range of wireless technologies, including all available cellular generations"
Micro Point Pro,Mature,11-50,Undisclosed,,,,,
mifold,Mature,1-10,$3.3M,,,,,
Mobius,Mature,11-50,$5.8M,2013,"Artificial Intelligence, Automotive, IoT, Smart City",514969104,https://www.mobilityinsight.net,"MobilityInsight is developing cost effective and innovative end to end solution that includes mesh network of smart edge sensors for detecting RF signals of IOT, video analytics, I2V and other sensing technologies, combined with powerful server side analytics to support realtime multi-modal (private"
Mofet Etzion,Mature,11-50,Undisclosed,,,,,
Moodify,A,11-50,$19.3M,2015,"Artificial Intelligence, Automotive, Machine Learning",515662732,https://www.moodify.ai,"Moodify transforms the way scents are made to make better, more effective and sustainable consumer products, making the design and manufacturing faster, more scalable, accurate, cost effective and compliant. The company develops a behavioral and cognitive guidance system for driver safety & security"
Morel,Mature,1-10,Undisclosed,,,,,
MOTX,Seed,1-10,$1.65M,,,,,
MultiVu,Seed,1-10,$7M,,,,,
NanoLock,C,11-50,$50.2M,,,,,
Nemo,A,11-50,$7M,,,,,
Neo Composite,Mature,1-10,Undisclosed,,,,,
Neomatix,Mature,1-10,$3M,,,,,
NewCO2Fuels,A,1-10,$11.03M,,,,,
Next Plus,Mature,11-50,Undisclosed,,,,,
NoviSign,Mature,11-50,$200K,,,,,
NRG International,Mature,1-10,Undisclosed,1980,Automotive,511327876,http://www.nrg1.co.il/multilang/en,"NRG is involved in research and development of Hi-Tech products for the Automotive, Industry and Agricultural Equipment. NRG has a number of characteristics that are synergistic with normal lubricant oils and greases to create an effective motor lubrication system. NRG reduces friction to yield the "
NRG Spring,Seed,1-10,$400K,2012,Automotive,,https://www.nrgspring.com,"NRG Spring has developed a proprietary technology that provides a storage system for a variety of applications, ranging from short-term grid stabilizers to long-term bulk energy storage to portable battery replacement. The company’s system can store any type of energy in hydraulic batteries (accumul"
Nur Ink,Public,11-50,$12M,,,,,
Openeyes,A,11-50,$23M,,,,,
OpenLegacy,Mature,51-200,$61M,,,,,
OpsysTech,C,51-200,$82.5M,2016,Automotive,515386001,https://www.opsys-tech.com,"OPSYS is a fast growing private company providing solutions for a wide range of applications utilizing fiber optics technologies. OPSYS is a spinoff from a world wide leading optical communication company. In addition to OPSYS existing product line in the optical communication market, OPSYS is also "
Optima Design,Seed,1-10,$2.7M,2014,Automotive,515041325,http://www.optima-da.com,"Optima Design Automation represents the next generation in automotive safety verification. The company has pioneered a new fault analysis technology for accelerated semiconductor development that enables a 1,000X performance improvement over traditional fault simulation."
Ornit Blind Rivets,Mature,11-50,Undisclosed,,,,,
Oryx Vision,B,11-50,$67M,,,,,
OSG - Oran,Mature,51-200,Undisclosed,1979,"Automotive, Defense Tech",550004071,https://osg-group.com,"OSG is a leading worldwide developer and producer of bullet resistant, forced entry and blast resistant glass for the automotive and building industries.
 
 OSG developed a revolutionary transparent armor technologies, advanced LCD glass systems (ScreeneX), solar systems and many others has been dev"
OSR Enterprises,Mature,51-200,Undisclosed,2011,"Artificial Intelligence, Automotive, Cyber Security, IoT, Machine Learning",515049062,http://www.osrenterprises.com,"OSR Enterprises develops automotive intelligence systems that integrate AI, data analytics, IoT, and connected car technologies to power autonomous and smart mobility solutions. The company has developed the EVOLVER, a Multi-Domain AI Brain for vehicles. The EVOLVER's advanced architecture, high pro"
OttoFence,Seed,1-10,Undisclosed,,,,,
Ottopia,A,11-50,$26.5M,2018,"Artificial Intelligence, Automotive, Defense Tech, Machine Learning, Robotics, Smart City",515900702,https://ottopia.tech,"Ottopia is a software company that enables the commercial deployment of all autonomous vehicles (AVs). Using Ottopia's software, remote humans can solve any challenge that autonomy alone cannot. With Ottopia's technology, major OEMs and AV companies close the performance gap of AVs, cut R&D costs, p"
Palziv,Mature,51-200,Undisclosed,,,,,
Paxis,Mature,11-50,Undisclosed,1968,"Automotive, Defense Tech",510496532,https://mobilinx.wixsite.com/website,"Xi Information Processing Systems has established itself as a chief developer, manufacturer and marketer of assorted vehicle tracking and navigation, GIS & data communications products and systems. Xi systems are field proven and incorporate mobile Geographic Information Systems (GIS) and data commu"
PCT - Protective,Mature,1-10,Undisclosed,,,,,
Phantom Auto,B,51-200,$55.5M,,,,,
PHASE3,Mature,11-50,Undisclosed,,,,,
Phinergy,Public,11-50,$144M,2010,"Automotive, Climate Tech, Cloud, Deep Tech",514354786,https://phinergy.com,"Phinergy is an innovative cleantech company which develops breakthrough clean energy backup and resilience solutions for customers in a wide range of industries. The company's patented metal-air technology leverages the vast energy contained in aluminum and zinc, enabling energy generation by combin"
Pickoto,Seed,1-10,$500K,,,,,
Planit Scheduling,Mature,1-10,$300K,,,,,
Plataine,Mature,51-200,Undisclosed,1997,"Artificial Intelligence, Automotive, Industry 4.0, IoT",512489667,https://www.plataine.com,"Plataine’s solution is a TaaS (Tracking as a Service) solution, providing an innovative solution for production optimization and automation solutions to bridge the gap between CAD, ERP and the production gloor, enabling manufacturers to be more competitive by increasing material utilization, improvi"
PML,Mature,1-10,Undisclosed,,,,,
PointAR,Seed,1-10,$800K,,,,,
POLEG Plastic,Mature,51-200,Undisclosed,2002,"Automotive, Big Data",513189423,http://www.sti-ltd.org,"STI (Security Technology Integration) provides a wide range of Civil and security solutions for the para-military and policing forces. The company is developing, manufacturing and marketing, solutions and systems for the Civil and for the Homeland Security & Defense Global Market."
Polycart,Mature,11-50,Undisclosed,,,,,
Polymertal,Mature,11-50,$2.26M,2013,"Automotive, Deep Tech, Industry 4.0, SpaceTech",514948751,https://polymertal.com,"Polymertal provides an innovative technology that aims to improve the traditional use of metal products and components with its concept of hybrid products. The company combines metals and polymers with high bonding performance, enabling the successful replacement of metal items, even in critical app"
Polyram,Public,51-200,$123M,,,,,
Polyrit,Mature,11-50,Undisclosed,,,,,
Powermat,B,11-50,$110M,2006,"Automotive, IoT, Smart City",513814442,https://powermat.com,"Powermat Technologies provides advanced wireless charging & wireless power supply platforms to OEMs aiming to modernize their product roadmap. Recognized as one of the world leading inventors of wireless power solutions, Powermat's trend setting heritage, large scale first to market strategy based o"
PrintCB,A,1-10,$2M,,,,,
PV Nano Cell,Public,11-50,$9.69M,,,,,
PxE,Seed,1-10,$6.5M,,,,,
Pzartech,Mature,1-10,$212.17K,2014,"Artificial Intelligence, Automotive, DevOps, Industry 4.0, IoT",515223931,https://www.pzartech.com,Pzartech develops visual-recognition technologies that enable users of complex mechanical equipment to quickly identify parts using image processing and deep learning. They enable maintenance operators to receive information regarding the mechanical parts they are working on using cameras from smart
QualiSense,Seed,11-50,$8.5M,,,,,
QualityLine,Mature,11-50,$1.2M,,,,,
Questar,Mature,51-200,Undisclosed,2003,"Artificial Intelligence, Automotive, Big Data, Insurtech, Machine Learning",513367797,https://questarauto.com,"Questar Auto Technologies is a predictive vehicle health company introducing cutting-edge AI technology for automotive. Our technology consists of AI-based analytics software, advanced telematics, and years of accumulated data and intimate familiarity with automotive pain points. Questar uses unique"
RadSee,Seed,1-10,$3M,2017,Automotive,515663409,https://radsee.com,RadSee developed the first 4D imaging radar for the automotive industry delivering outstanding performance AND low cost. The radar’s unique architecture uses off-the-shelf components and patented technology to provide industry-leading performance and the flexibility to fit into existing Tier 1 and O
Redler,Mature,11-50,$2.43M,1994,"Automotive, Defense Tech, Robotics",512052077,https://www.redlertechnologies.com,"Redler specializes in the developing and marketing Electrical power and motion management solutions for the industrial, automotive, and defense industries. 
 Their advanced, innovative, embedded and patented DC motion control drivers and smart power circuit breakers will help keeping platforms in mo"
RFISee,Seed,1-10,$2.75M,,,,,
RFOptic,Mature,11-50,Undisclosed,,,,,
Saccade Vision,Seed,1-10,$1M,,,,,
Safe Distance,Mature,1-10,Undisclosed,,,,,
SafeCue,Seed,1-10,$500K,,,,,
SafeMode,Seed,11-50,$325K,2016,"Artificial Intelligence, Automotive, Big Data, Insurtech, RetailTech",515575066,https://www.safemode.co,"SafeMode’s cloud-based solution enhances fleets’ safety and efficiency by shifting the focus to the driver. With a unique behavioral AI platform, it enables fleets and mobility services to provide fundamental values to their drivers, leading to proactive modification of their driving behavior."
Safer Place,Mature,11-50,$1M,2011,"Automotive, Smart City",514589472,https://saferplace.com,"SaferPlace helps police and law enforcement agencies to detect non-conventional, high-risk traffic violations. The improvement of traffic enforcement increases road safety, reduces dangerous driving and prevents serious or fatal injury to pedestrians. For municipalities, Safer Place technology offer"
Salvation Battery,Pre-Seed,1-10,$250K,,,,,
SaverOne,Public,11-50,$29.89M,2014,"Artificial Intelligence, Automotive, Big Data, Insurtech, Machine Learning",515154607,https://www.saver.one,"SaverOne is a technology company that designs, develops, and commercializes OEM and aftermarket solutions and technologies to lower the risk of and prevent vehicle accidents. SaverOne’s initial product line is a suite of solutions that saves lives by preventing car accidents resulting from distracti"
Securepush,Mature,1-10,$2.9M,,,,,
Seevix Material,Mature,11-50,Undisclosed,,,,,
Senso-Optics,Mature,11-50,Undisclosed,,,,,
ShieldIOT,A,11-50,$11M,,,,,
Silib,Seed,1-10,$3M,2019,Automotive,516233673,https://www.si-lib.com,Silib is developing and scaling up the manufacturing of Li-ion battery technology which can increase the battery capacity by up to 40% while maintain the same form factor.
Sital Technology,Mature,11-50,Undisclosed,1993,"Automotive, SpaceTech",512441148,http://www.sitaltech.com,"Sital Technology develops products and expertise for communication bus applications in the avionics, aerospace and automotive industries. Sital embeds its vast experience and proficiency in its products which include the widely used Mil-Std-1553 and ARINC 429 IP cores, components, boards and testers"
SKM Aeronautics,Mature,11-50,Undisclosed,,,,,
SolCold,B,11-50,$14.37M,,,,,
